Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
60784540,The Soulmate,Sally Hepworth,"Hepworth, Sally",,"=""1250229707""","=""9781250229700""",4,3.86,St. Martin's Press,Hardcover,327,2023,2022,,2023/04/14,,,read,,,,1,0
62092265,The Late Americans,Brandon  Taylor,"Taylor, Brandon",,"=""0593332334""","=""9780593332337""",0,3.54,Riverhead Books,Hardcover,303,2023,2023,,2023/04/17,to-read,to-read (#84),to-read,,,,0,0
62687857,The Covenant of Water,Abraham   Verghese,"Verghese, Abraham",,"=""""","=""""",0,4.54,Grove Press,Hardcover,724,2023,2023,,2023/04/17,to-read,to-read (#83),to-read,,,,0,0
96606313,"Unravel Me (Playing for Keeps, #3)",Becka Mack,"Mack, Becka",,"=""""","=""""",0,4.39,,Kindle Edition,,2023,2023,,2023/04/16,to-read,to-read (#82),to-read,,,,0,0
62053325,"Play With Me (Playing for Keeps, #2)",Becka Mack,"Mack, Becka",,"=""""","=""""",3,4.30,,Kindle Edition,569,2022,,,2023/04/16,,,read,,,,1,0
242006,Running with Scissors,Augusten Burroughs,"Burroughs, Augusten",,"=""031242227X""","=""9780312422271""",0,3.75,Picador USA,Paperback,336,2003,2002,,2023/04/15,to-read,to-read (#81),to-read,,,,0,0
60795086,Code Name Blue Wren: The True Story of America's Most Dangerous Female Spy―and the Sister She Betrayed,Jim Popkin,"Popkin, Jim",,"=""1335449884""","=""9781335449887""",0,3.78,Hanover Square Press,Hardcover,352,2023,2023,,2023/04/15,to-read,to-read (#80),to-read,,,,0,0
61718053,Happy Place,Emily Henry,"Henry, Emily",,"=""0593441273""","=""9780593441275""",0,4.11,Berkley,Hardcover,400,2023,2023,,2023/04/14,to-read,to-read (#79),to-read,,,,0,0
45484397,"The Deal (Off-Campus, #1)",Elle Kennedy,"Kennedy, Elle",,"=""1775293939""","=""9781775293934""",4,4.25,Bloom Books,Paperback,360,2015,2015,2023/04/14,2023/04/14,,,read,V short but good ,,,1,0
60040033,"Consider Me (Playing For Keeps, #1)",Becka Mack,"Mack, Becka",,"=""""","=""""",4,4.01,,ebook,462,2022,,2023/04/13,2023/04/13,,,read,Cute smut ,,,1,0
101145836,"Wildfire (Maple Hills, #2)",Hannah  Grace,"Grace, Hannah",,"=""1668026279""","=""9781668026274""",0,4.22,Atria Books,Paperback,400,2023,2023,,2023/04/13,to-read,to-read (#78),to-read,,,,0,0
